Position,Name,teamAbbrev,NBAAbbrev
SG,Garrett Temple,Was,WAS
PG,Patty Mills,SA,SAS
SG,Langston Galloway,NY,NYK
SF,Justise Winslow,Mia,MIA
PG,Devin Harris,Dal,DAL
C,Spencer Hawes,Cha,CHA
SG,Hollis Thompson,Phi,PHI
SF,Doug McDermott,Chi,CHI
SG,Austin Rivers,LAC,LAC
C,Frank Kaminsky,Cha,CHA
SF,Shabazz Muhammad,Min,MIN
SF,Aaron Gordon,Orl,ORL
PF,Boris Diaw,SA,SAS
SG,Brandon Rush,GS,GSW
PG,Greivis Vasquez,Mil,MIL
PF,Nemanja Bjelica,Min,MIN
SF,Tony Snell,Chi,CHI
SG,Nik Stauskas,Phi,PHI
PF,Channing Frye,Orl,ORL
SF,Tony Allen,Mem,MEM
PG,J.J. Barea,Dal,DAL
PG,Aaron Brooks,Chi,CHI
PG,Shaun Livingston,GS,GSW
SF,Lance Thomas,NY,NYK
C,Lavoy Allen,Ind,IND
C,Alexis Ajinca,NO,NOP
SF,Lance Stephenson,LAC,LAC
SF,Paul Pierce,LAC,LAC
C,Andrea Bargnani,Bkn,BKN
PG,Norris Cole,NO,NOP
C,Omer Asik,NO,NOP
PF,JaMychal Green,Mem,MEM
SG,Andre Roberson,OKC,OKC
PG,Kirk Hinrich,Chi,CHI
PG,Leandro Barbosa,GS,GSW
PF,Anthony Tolliver,Det,DET
PF,Jason Smith,Orl,ORL
SF,Dante Cunningham,NO,NOP
PF,Josh McRoberts,Mia,MIA
SF,Alonzo Gee,NO,NOP
SF,Wesley Johnson,LAC,LAC
PF,Brandan Wright,Mem,MEM
SG,Gerald Henderson,Por,POR
PF,Mike Scott,Atl,ATL
C,Nikola Pekovic,Min,MIN
C,Mike Muscala,Atl,ATL
PF,Kevin Seraphin,NY,NYK
SG,Markel Brown,Bkn,BKN
SF,Jonathon Simmons,SA,SAS
SF,Maurice Harkless,Por,POR
PG,Raul Neto,Uta,UTA
C,Myles Turner,Ind,IND
SG,Devin Booker,Pho,PHO
PF,Trey Lyles,Uta,UTA
PF,Kevin Garnett,Min,MIN
PG,Steve Blake,Det,DET
PG,Ronnie Price,Pho,PHO
SF,Tayshaun Prince,Min,MIN
PG,C.J. Watson,Orl,ORL
C,Ryan Hollins,Was,WAS
PF,Charlie Villanueva,Dal,DAL
SG,Anthony Morrow,OKC,OKC
SF,Luc Richard Mbah a Moute,LAC,LAC
C,Aron Baynes,Det,DET
PG,D.J. Augustin,OKC,OKC
SG,Wayne Ellington,Bkn,BKN
SF,Chase Budinger,Ind,IND
C,Marreese Speights,GS,GSW
C,DeJuan Blair,Was,WAS
C,Jeff Withey,Uta,UTA
PF,Kyle O'Quinn,NY,NYK
SG,Lamar Patterson,Atl,ATL
SF,Derrick Williams,NY,NYK
PF,Thomas Robinson,Bkn,BKN
PG,Kendall Marshall,Phi,PHI
PG,Shabazz Napier,Orl,ORL
SG,James Ennis,Mem,MEM
PF,Johnny O'Bryant,Mil,MIL
C,Dewayne Dedmon,Orl,ORL
SF,P.J. Hairston,Cha,CHA
SF,Jakarr Sampson,Phi,PHI
PF,Richaun Holmes,Phi,PHI
SF,Kyle Anderson,SA,SAS
PF,Noah Vonleh,Por,POR
SG,Rashad Vaughn,Mil,MIL
SG,Vince Carter,Mem,MEM
PG,Andre Miller,Min,MIN
PF,Matt Bonner,SA,SAS
C,Nick Collison,OKC,OKC
C,Chris Kaman,Por,POR
PF,Louis Amundson,NY,NYK
SG,Alan Anderson,Was,WAS
C,Chris Andersen,Mia,MIA
PF,Drew Gooden,Was,WAS
PF,Amar'e Stoudemire,Mia,MIA
SG,Rasual Butler,SA,SAS
SF,Mike Dunleavy,Chi,CHI
SF,Steve Novak,OKC,OKC
PF,Chris Copeland,Mil,MIL
C,Kendrick Perkins,NO,NOP
PF,Udonis Haslem,Mia,MIA
SG,Sasha Vujacic,NY,NYK
PG,Beno Udrih,Mia,MIA
PG,Toney Douglas,NO,NOP
PF,Carl Landry,Phi,PHI
PG,Brian Roberts,Cha,CHA
PF,Joel Anthony,Det,DET
PF,Jason Thompson,GS,GSW
PF,Tyler Hansbrough,Cha,CHA
SF,Quincy Pondexter,NO,NOP
SG,Jodie Meeks,Det,DET
PG,Donald Sloan,Bkn,BKN
SG,Sonny Weems,Pho,PHO
C,JaVale McGee,Dal,DAL
SG,Elijah Millsap,Uta,UTA
SF,Jeremy Evans,Dal,DAL
C,Tiago Splitter,Atl,ATL
SG,Justin Holiday,Atl,ATL
SG,E'Twaun Moore,Chi,CHI
SF,Kyle Singler,OKC,OKC
C,Cole Aldrich,LAC,LAC
SF,Luke Babbitt,NO,NOP
C,Tyler Zeller,Bos,BOS
SF,Chris Johnson,Uta,UTA
C,Miles Plumlee,Mil,MIL
SF,Willie Reed,Bkn,BKN
PG,Shelvin Mack,Atl,ATL
PF,Jonas Jerebko,Bos,BOS
SG,Ian Clark,GS,GSW
C,Shayne Whittington,Ind,IND
SF,Solomon Hill,Ind,IND
SG,C.J. Wilcox,LAC,LAC
SG,John Jenkins,Dal,DAL
PF,Cory Jefferson,Pho,PHO
PG,Troy Daniels,Cha,CHA
PG,Tim Frazier,Por,POR
C,Tibor Pleiss,Uta,UTA
PF,Cameron Bairstow,Chi,CHI
SG,Tim Hardaway Jr.,Atl,ATL
SF,Josh Huestis,OKC,OKC
PG,Jerian Grant,NY,NYK
SF,Reggie Bullock,Det,DET
PG,Pablo Prigioni,LAC,LAC
PG,Russ Smith,Mem,MEM
SG,Joe Ingles,Uta,UTA
C,Boban Marjanovic,SA,SAS
SF,Devyn Marble,Orl,ORL
PF,Adreian Payne,Min,MIN
SG,Joe Young,Ind,IND
C,Salah Mejri,Dal,DAL
PG,Ray McCallum,SA,SAS
PG,Bryce Cotton,Pho,PHO
SF,Pat Connaughton,Por,POR
SG,Darrun Hilliard,Det,DET
PG,Spencer Dinwiddie,Det,DET
SF,Michael Kidd-Gilchrist,Cha,CHA
SG,Josh Richardson,Mia,MIA
SF,Branden Dawson,LAC,LAC
PF,James Michael McAdoo,GS,GSW
PF,Rakeem Christmas,Ind,IND
PF,Jarnell Stokes,Mia,MIA
SF,Sergey Karasev,Bkn,BKN
SG,R.J. Hunter,Bos,BOS
SG,Jordan Adams,Mem,MEM
SF,Justin Anderson,Dal,DAL
SF,Glenn Robinson III,Ind,IND
PF,Mitch McGary,OKC,OKC
SG,Archie Goodwin,Pho,PHO
SF,Cleanthony Early,NY,NYK
PF,Jarell Martin,Mem,MEM
PF,Jordan Mickey,Bos,BOS
PF,Bobby Portis,Chi,CHI
PF,Christian Wood,Phi,PHI
PG,Terry Rozier,Bos,BOS
PG,Tyler Ennis,Mil,MIL
SG,James Young,Bos,BOS
PG,Aaron Harrison,Cha,CHA
PG,Cameron Payne,OKC,OKC
C,Joel Embiid,Phi,PHI
PG,Dante Exum,Uta,UTA
SF,Damien Inglis,Mil,MIL
C,Walter Tavares,Atl,ATL
SF,Damjan Rudez,Min,MIN
C,Cristiano Felicio,Chi,CHI
SG,Mario Hezonja,Orl,ORL
PG,Tyus Jones,Min,MIN
PF,Cliff Alexander,Por,POR
SF,Kelly Oubre Jr.,Was,WAS
PF,Kevon Looney,GS,GSW
PF,Chris McCullough,Bkn,BKN
SF,Luis Montero,Por,POR
SG,James Harden,Hou,HOU
PF,DeMarcus Cousins,Sac,SAC
SF,LeBron James,Cle,CLE
PG,Rajon Rondo,Sac,SAC
PF,Kevin Love,Cle,CLE
C,Dwight Howard,Hou,HOU
SF,Danilo Gallinari,Den,DEN
SF,Rudy Gay,Sac,SAC
PG,Kyrie Irving,Cle,CLE
SG,Will Barton,Den,DEN
SG,Kobe Bryant,LAL,LAL
PF,Kenneth Faried,Den,DEN
PF,Julius Randle,LAL,LAL
SF,Omri Casspi,Sac,SAC
SF,Trevor Ariza,Hou,HOU
SF,Wilson Chandler,Den,DEN
C,Clint Capela,Hou,HOU
PG,Emmanuel Mudiay,Den,DEN
SG,J.R. Smith,Cle,CLE
SG,Jordan Clarkson,LAL,LAL
PG,D'Angelo Russell,LAL,LAL
PG,Lou Williams,LAL,LAL
PF,Tristan Thompson,Cle,CLE
C,Jusuf Nurkic,Den,DEN
PG,Darren Collison,Sac,SAC
PG,Patrick Beverley,Hou,HOU
PF,Terrence Jones,Hou,HOU
PG,Mo Williams,Cle,CLE
PG,Matthew Dellavedova,Cle,CLE
PF,Darrell Arthur,Den,DEN
C,Kosta Koufos,Sac,SAC
PG,Jameer Nelson,Den,DEN
C,Roy Hibbert,LAL,LAL
SF,Marcus Thornton,Hou,HOU
SF,Corey Brewer,Hou,HOU
C,Joffrey Lauvergne,Den,DEN
SG,Gary Harris,Den,DEN
C,Nikola Jokic,Den,DEN
PF,J.J. Hickson,Den,DEN
SG,Marco Belinelli,Sac,SAC
SG,Ben McLemore,Sac,SAC
SG,Iman Shumpert,Cle,CLE
PG,Ty Lawson,Hou,HOU
PF,Brandon Bass,LAL,LAL
SG,Nick Young,LAL,LAL
C,Timofey Mozgov,Cle,CLE
PG,Randy Foye,Den,DEN
PF,Donatas Motiejunas,Hou,HOU
SF,Metta World Peace,LAL,LAL
PF,Larry Nance Jr.,LAL,LAL
C,Willie Cauley-Stein,Sac,SAC
PG,Jason Terry,Hou,HOU
SF,Richard Jefferson,Cle,CLE
SG,Jared Cunningham,Cle,CLE
SG,Mike Miller,Den,DEN
SG,James Jones,Cle,CLE
C,Anderson Varejao,Cle,CLE
SF,Caron Butler,Sac,SAC
C,Sasha Kaun,Cle,CLE
SG,James Anderson,Sac,SAC
C,Robert Sacre,LAL,LAL
PG,Seth Curry,Sac,SAC
PF,Quincy Acy,Sac,SAC
SF,Ryan Kelly,LAL,LAL
SG,Joe Harris,Cle,CLE
C,Tarik Black,LAL,LAL
SF,Duje Dukan,Sac,SAC
SF,Anthony Brown,LAL,LAL
PF,Eric Moreland,Sac,SAC
PG,Marcelo Huertas,LAL,LAL
SF,K.J. McDaniels,Hou,HOU
SF,Kostas Papanikolaou,Den,DEN
SF,Sam Dekker,Hou,HOU
PF,Montrezl Harrell,Hou,HOU
SG,DeMar DeRozan,Tor,TOR
PG,Kyle Lowry,Tor,TOR
PF,Luis Scola,Tor,TOR
C,Bismack Biyombo,Tor,TOR
PG,Cory Joseph,Tor,TOR
PF,Patrick Patterson,Tor,TOR
SF,Terrence Ross,Tor,TOR
PF,James Johnson,Tor,TOR
SG,Norman Powell,Tor,TOR
C,Lucas Nogueira,Tor,TOR
PF,Anthony Bennett,Tor,TOR
SF,Demarre Carrol,Tor,TOR
