Position,Name,teamAbbrev
C,Nikola Pekovic,Min
C,Mike Muscala,Atl
PF,Kevin Seraphin,NY
SG,Markel Brown,Bkn
SF,Jonathon Simmons,SA
SF,Maurice Harkless,Por
PG,Raul Neto,Uta
C,Myles Turner,Ind
SG,Devin Booker,Pho
PF,Trey Lyles,Uta
PF,Kevin Garnett,Min
PG,Steve Blake,Det
PG,Ronnie Price,Pho
SF,Tayshaun Prince,Min
PG,C.J. Watson,Orl
C,Ryan Hollins,Was
PF,Charlie Villanueva,Dal
SG,Anthony Morrow,OKC
SF,Luc Richard Mbah a Moute,LAC
C,Aron Baynes,Det
PG,D.J. Augustin,OKC
SG,Wayne Ellington,Bkn
SF,Chase Budinger,Ind
C,Marreese Speights,GS
C,DeJuan Blair,Was
C,Jeff Withey,Uta
PF,Kyle O'Quinn,NY
SG,Lamar Patterson,Atl
SF,Derrick Williams,NY
PF,Thomas Robinson,Bkn
PG,Kendall Marshall,Phi
PG,Shabazz Napier,Orl
SG,James Ennis,Mem
PF,Johnny O'Bryant,Mil
C,Dewayne Dedmon,Orl
SF,P.J. Hairston,Cha
SF,Jakarr Sampson,Phi
PF,Richaun Holmes,Phi
SF,Kyle Anderson,SA
PF,Noah Vonleh,Por
SG,Rashad Vaughn,Mil
SG,Vince Carter,Mem
PG,Andre Miller,Min
PF,Matt Bonner,SA
C,Nick Collison,OKC
C,Chris Kaman,Por
PF,Louis Amundson,NY
SG,Alan Anderson,Was
C,Chris Andersen,Mia
PF,Drew Gooden,Was
PF,Amar'e Stoudemire,Mia
SG,Rasual Butler,SA
SF,Mike Dunleavy,Chi
SF,Steve Novak,OKC
PF,Chris Copeland,Mil
C,Kendrick Perkins,NO
PF,Udonis Haslem,Mia
SG,Sasha Vujacic,NY
PG,Beno Udrih,Mia
PG,Toney Douglas,NO
PF,Carl Landry,Phi
PG,Brian Roberts,Cha
PF,Joel Anthony,Det
PF,Jason Thompson,GS
PF,Tyler Hansbrough,Cha
SF,Quincy Pondexter,NO
SG,Jodie Meeks,Det
PG,Donald Sloan,Bkn
SG,Sonny Weems,Pho
C,JaVale McGee,Dal
SG,Elijah Millsap,Uta
SF,Jeremy Evans,Dal
C,Tiago Splitter,Atl
SG,Justin Holiday,Atl
SG,E'Twaun Moore,Chi
SF,Kyle Singler,OKC
C,Cole Aldrich,LAC
SF,Luke Babbitt,NO
C,Tyler Zeller,Bos
SF,Chris Johnson,Uta
C,Miles Plumlee,Mil
SF,Willie Reed,Bkn
PG,Shelvin Mack,Atl
PF,Jonas Jerebko,Bos
SG,Ian Clark,GS
C,Shayne Whittington,Ind
SF,Solomon Hill,Ind
SG,C.J. Wilcox,LAC
SG,John Jenkins,Dal
PF,Cory Jefferson,Pho
PG,Troy Daniels,Cha
PG,Tim Frazier,Por
C,Tibor Pleiss,Uta
PF,Cameron Bairstow,Chi
SG,Tim Hardaway Jr.,Atl
SF,Josh Huestis,OKC
PG,Jerian Grant,NY
SF,Reggie Bullock,Det
PG,Pablo Prigioni,LAC
PG,Russ Smith,Mem
SG,Joe Ingles,Uta
C,Boban Marjanovic,SA
SF,Devyn Marble,Orl
PF,Adreian Payne,Min
SG,Joe Young,Ind
C,Salah Mejri,Dal
PG,Ray McCallum,SA
PG,Bryce Cotton,Pho
SF,Pat Connaughton,Por
SG,Darrun Hilliard,Det
PG,Spencer Dinwiddie,Det
SF,Michael Kidd-Gilchrist,Cha
SG,Josh Richardson,Mia
SF,Branden Dawson,LAC
PF,James Michael McAdoo,GS
PF,Rakeem Christmas,Ind
PF,Jarnell Stokes,Mia
SF,Sergey Karasev,Bkn
SG,R.J. Hunter,Bos
SG,Jordan Adams,Mem
SF,Justin Anderson,Dal
SF,Glenn Robinson III,Ind
PF,Mitch McGary,OKC
SG,Archie Goodwin,Pho
SF,Cleanthony Early,NY
PF,Jarell Martin,Mem
PF,Jordan Mickey,Bos
PF,Bobby Portis,Chi
PF,Christian Wood,Phi
PG,Terry Rozier,Bos
PG,Tyler Ennis,Mil
SG,James Young,Bos
PG,Aaron Harrison,Cha
PG,Cameron Payne,OKC
C,Joel Embiid,Phi
PG,Dante Exum,Uta
SF,Damien Inglis,Mil
C,Walter Tavares,Atl
SF,Damjan Rudez,Min
C,Cristiano Felicio,Chi
SG,Mario Hezonja,Orl
PG,Tyus Jones,Min
PF,Cliff Alexander,Por
SF,Kelly Oubre Jr.,Was
PF,Kevon Looney,GS
PF,Chris McCullough,Bkn
SF,Luis Montero,Por
SG,James Harden,Hou
PF,DeMarcus Cousins,Sac
SF,LeBron James,Cle
PG,Rajon Rondo,Sac
PF,Kevin Love,Cle
PG,Isaiah Thomas,Bos
C,Karl-Anthony Towns,Min
C,Dwight Howard,Hou
C,Greg Monroe,Mil
SF,Danilo Gallinari,Den
PG,Ricky Rubio,Min
SF,Rudy Gay,Sac
SF,Giannis Antetokounmpo,Mil
SG,Andrew Wiggins,Min
PG,Kyrie Irving,Cle
SG,Will Barton,Den
C,Jared Sullinger,Bos
SG,Kobe Bryant,LAL
PF,Kenneth Faried,Den
SG,Avery Bradley,Bos
PF,Julius Randle,LAL
PG,Michael Carter-Williams,Mil
SG,O.J. Mayo,Mil
SF,Jae Crowder,Bos
SF,Omri Casspi,Sac
SF,Trevor Ariza,Hou
SF,Wilson Chandler,Den
C,Clint Capela,Hou
PG,Zach LaVine,Min
PG,Emmanuel Mudiay,Den
SG,J.R. Smith,Cle
SG,Khris Middleton,Mil
SG,Jordan Clarkson,LAL
PG,D'Angelo Russell,LAL
PG,Lou Williams,LAL
C,Gorgui Dieng,Min
PF,Jabari Parker,Mil
PF,Tristan Thompson,Cle
C,Jusuf Nurkic,Den
PG,Darren Collison,Sac
PG,Patrick Beverley,Hou
PG,Jerryd Bayless,Mil
SG,Evan Turner,Bos
PF,Terrence Jones,Hou
PG,Mo Williams,Cle
PG,Matthew Dellavedova,Cle
SG,Kevin Martin,Min
PF,Amir Johnson,Bos
PG,Marcus Smart,Bos
PF,Darrell Arthur,Den
C,Kosta Koufos,Sac
PG,Jameer Nelson,Den
C,Roy Hibbert,LAL
C,Kelly Olynyk,Bos
SF,Marcus Thornton,Hou
SF,Corey Brewer,Hou
C,Joffrey Lauvergne,Den
SG,Gary Harris,Den
C,Nikola Jokic,Den
PF,J.J. Hickson,Den
SG,Marco Belinelli,Sac
SG,Ben McLemore,Sac
PF,John Henson,Mil
PF,David Lee,Bos
SG,Iman Shumpert,Cle
PG,Ty Lawson,Hou
SF,Shabazz Muhammad,Min
PF,Brandon Bass,LAL
SG,Nick Young,LAL
PG,Greivis Vasquez,Mil
PF,Nemanja Bjelica,Min
C,Timofey Mozgov,Cle
PG,Randy Foye,Den
PF,Donatas Motiejunas,Hou
SF,Metta World Peace,LAL
PF,Larry Nance Jr.,LAL
C,Willie Cauley-Stein,Sac
PG,Jason Terry,Hou
SF,Richard Jefferson,Cle
C,Nikola Pekovic,Min
SG,Jared Cunningham,Cle
PF,Kevin Garnett,Min
SG,Mike Miller,Den
SG,James Jones,Cle
SF,Tayshaun Prince,Min
C,Anderson Varejao,Cle
PF,Johnny O'Bryant,Mil
SG,Rashad Vaughn,Mil
PG,Andre Miller,Min
SF,Caron Butler,Sac
PF,Chris Copeland,Mil
C,Sasha Kaun,Cle
SG,James Anderson,Sac
C,Robert Sacre,LAL
C,Tyler Zeller,Bos
PG,Seth Curry,Sac
C,Miles Plumlee,Mil
PF,Quincy Acy,Sac
PF,Jonas Jerebko,Bos
SF,Ryan Kelly,LAL
SG,Joe Harris,Cle
C,Tarik Black,LAL
SF,Duje Dukan,Sac
SF,Anthony Brown,LAL
PF,Eric Moreland,Sac
PF,Adreian Payne,Min
PG,Marcelo Huertas,LAL
SF,K.J. McDaniels,Hou
SF,Kostas Papanikolaou,Den
SF,Sam Dekker,Hou
SG,R.J. Hunter,Bos
PF,Montrezl Harrell,Hou
PF,Jordan Mickey,Bos
PG,Terry Rozier,Bos
PG,Tyler Ennis,Mil
SG,James Young,Bos
SF,Damien Inglis,Mil
SF,Damjan Rudez,Min
PG,Tyus Jones,Min
SG,DeMar DeRozan,Tor
PG,Kyle Lowry,Tor
PF,Luis Scola,Tor
C,Bismack Biyombo,Tor
PG,Cory Joseph,Tor
PF,Patrick Patterson,Tor
SF,Terrence Ross,Tor
PF,James Johnson,Tor
SG,Norman Powell,Tor
C,Lucas Nogueira,Tor
PF,Anthony Bennett,Tor
SF,Demarre Carrol,Tor
